bce_loss: tf.Tensor(0.7652024, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0062475996, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73761714, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007790246, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376171, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00761123, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451315, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006793196, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451303, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.005819725, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652017, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0064968243, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376166, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007878503, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451274, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007257709, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307202, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0063209394, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072016, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006998467, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652009, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0075062225, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376161, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0069186045, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73761594, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008128522, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451196, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0060017915, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451184, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00653142, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652001, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006682706, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73761547, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007259512, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445116, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006804984, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307192, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007054046, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307191, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0065547926, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7651993, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007366918, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.737615, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00807191, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376148, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0068700165, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445108, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0066478103, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451065, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00577144, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7651986, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006482032, shape=(), dtype=float32) 
